,0
0,4704.75841
1,4225.95923
2,1028.87355
3,71.12057
4,6423.08323
5,401.37533
6,2136.61356
7,681.1704
8,4679.16286
9,3762.24095
10,1063.93553
11,754.69276
12,1011.37482
13,1214.83951
14,3492.15253
15,1392.38855
16,9022.81503
17,663.89726
18,7316.68834
19,7406.00641
20,1852.53625
21,1419.78672
22,13962.5945
23,775.05161
24,1825.08727
25,30967.09857
26,4455.10874
27,618.17708
28,4381.76425
29,61949.25052
30,13590.70952
31,11156.58113
32,12536.56009
33,33215.35815
34,8680.31909
35,1054.21616
36,1238.51352
37,7035.4781
38,9886.36955
39,395.55474
40,6807.91696
41,31695.28654
42,3078.29571
43,7074.22703
44,1619.73352
45,336.03322
46,378.40712
47,570.19062
48,3536.34526
49,8746.7719
50,403.23472
51,342.35901
52,1962.95066
53,1399.91592
54,2009.41367
55,1738.77901
56,101.01069
57,700.76896
58,1131.17112
59,15164.94952
60,543.00958
61,1996.42022
62,4744.53565
63,12476.82676
64,2402.5844
65,3443.05462
66,515.24436
67,9764.93424
68,681.08215
69,57818.6932
70,1516.00384
71,4202.73087
72,1109.24565
73,20206.91574
74,1657.80226
75,936.99833
76,8091.67401
77,380.119
78,14755.0776
79,11617.93128
80,3951.87056
81,2932.7555
82,5755.34388
83,1647.86929
84,10865.06177
85,7559.32154
86,906.07678
87,3778.88754
88,397.67589
89,1194.61332
90,1934.50596
91,7912.30956
92,29074.86225
93,4715.2615
94,1988.14077
95,12312.19171
96,279.52624
97,6971.06147
98,11295.05613
99,38403.27205
100,10502.51144
101,3695.81244
102,9245.88193
103,860.23251
104,6767.61669
105,1129.34874
106,4091.34176
107,3388.40972
108,6917.87918
109,80.1738
110,7280.18347
111,14538.73456
112,17837.8805
113,732.31822
114,385.45505
115,559.27155
116,11613.23802
117,4733.458
118,597.63706
119,990.01648
120,6579.6744
121,2174.48576
122,12502.08592
123,5131.93484
124,586.11871
125,11738.38127
126,210.23074
127,241.03551
128,15165.28254
129,3332.42506
130,127.73962
131,836.55345
132,1173.51274
133,511.18866
134,4193.22209
135,814.66003
136,9452.66415
137,305.66332
138,2202.84269
139,776.76567
140,1866.12829
141,3425.61115
142,12313.53009
143,3203.13278
144,7290.00591
145,566.95784
146,29959.3879
147,2862.93303
148,429.97987
149,454.84345
150,575.29368
151,1237.99078
152,320.45961
153,1248.67488
154,1830.66252
155,21591.21853
156,1606.99275
